cells,taxagroup,T2Mexp
13275,birds,0
13275,mammals,0
13276,birds,0
13276,mammals,0
13277,birds,0
13277,mammals,0
13278,birds,0
13278,mammals,0
13279,birds,0
13279,mammals,0
13280,birds,0
13280,mammals,0
13281,birds,0
13281,mammals,0
13282,birds,0
13282,mammals,0
13283,birds,0
13283,mammals,0
13284,birds,0
13284,mammals,0
13285,birds,0
13285,mammals,0
13286,birds,0
13286,mammals,0
13287,birds,0
13287,mammals,0
13288,birds,0
13288,mammals,0
13289,birds,0
13289,mammals,0
13848,birds,0
13848,mammals,0
13849,birds,0
13849,mammals,0
13850,birds,0
13850,mammals,0
13851,birds,0
13851,mammals,0
13852,birds,0
13852,mammals,0
13853,birds,0
13853,mammals,0
13854,birds,0
13854,mammals,0
13855,birds,0
13855,mammals,0
13856,birds,0
13856,mammals,0
13857,birds,0
13857,mammals,0
13858,birds,0
13858,mammals,0
13859,birds,0
13859,mammals,0
13860,birds,0
13860,mammals,0
13861,birds,0
13861,mammals,0
13862,birds,0
13862,mammals,0
13863,birds,0
13863,mammals,0
13864,birds,0
13864,mammals,0
13865,birds,0
13865,mammals,0
13875,birds,0
13875,mammals,0
13876,birds,0
13876,mammals,0
13877,birds,0
13877,mammals,0
13878,birds,0
13878,mammals,0
13879,birds,0
13879,mammals,0
13880,birds,0
13880,mammals,0
13881,birds,0
13881,mammals,0
13882,birds,0
13882,mammals,0
13883,birds,0
13883,mammals,0
13884,birds,0
13884,mammals,0
13885,birds,0
13885,mammals,0
13886,birds,0
13886,mammals,0
13887,birds,0
13887,mammals,0
13888,birds,0
13888,mammals,0
13889,birds,0
13889,mammals,0
13890,birds,0
13890,mammals,0
13891,birds,0
13891,mammals,0
13892,birds,0
13892,mammals,0
13893,birds,0
13893,mammals,0
13894,birds,0
13894,mammals,0
13895,birds,0
13895,mammals,0
13896,birds,0
13896,mammals,0
13897,birds,0
13897,mammals,0
13898,birds,0
13898,mammals,0
13899,birds,0
13899,mammals,0
13900,birds,0
13900,mammals,0
13906,birds,0
13906,mammals,0
13907,birds,0
13907,mammals,0
13908,birds,0
13908,mammals,0
13909,birds,0
13909,mammals,0
13910,birds,0
13910,mammals,0
13911,birds,0
13911,mammals,0
13912,birds,0
13912,mammals,0
13913,birds,0
13913,mammals,0
13914,birds,0
13914,mammals,0
13915,birds,0
13915,mammals,0
13916,birds,0
13916,mammals,0
13917,birds,0
13917,mammals,0
13918,birds,0
13918,mammals,0
13919,birds,0
13919,mammals,0
13920,birds,0
13920,mammals,0
13921,birds,0
13921,mammals,0
13922,birds,0
13922,mammals,0
13923,birds,0
13923,mammals,0
13924,birds,0
13924,mammals,0
13925,birds,0
13925,mammals,0
13926,birds,0
13926,mammals,0
13927,birds,0
13927,mammals,0
13928,birds,0
13928,mammals,0
13929,birds,0
13929,mammals,0
13930,birds,0
13930,mammals,0
13931,birds,0
13931,mammals,0
13932,birds,0
13932,mammals,0
13933,mammals,0
13934,mammals,0
13935,mammals,0
13936,mammals,0
13937,mammals,0
13938,mammals,0
13939,mammals,0
13940,mammals,0
13941,mammals,0
13942,mammals,0
13943,mammals,0
13944,mammals,0
13945,mammals,0
13946,mammals,0
13947,mammals,0
13948,mammals,0
13949,mammals,0
13950,mammals,0
13951,mammals,0
13952,mammals,0
13953,mammals,0
13954,mammals,0
13955,mammals,0
13956,mammals,0
13957,mammals,0
13958,mammals,0
13959,mammals,0
13960,mammals,0
13961,mammals,0
13962,mammals,0
13963,mammals,0
13964,mammals,0
13965,mammals,0
13966,mammals,0
13967,mammals,0
13968,mammals,0
13969,mammals,0
13970,mammals,0
13971,mammals,0
13972,mammals,0
13973,mammals,0
13974,mammals,0
13975,mammals,0
13976,mammals,0
13977,mammals,0
13978,mammals,0
13979,mammals,0
13980,mammals,0
13981,mammals,0
13982,mammals,0
13983,mammals,0
13984,mammals,0
13985,mammals,0
13986,mammals,0
13987,mammals,0
13988,mammals,0
13989,mammals,0
13990,mammals,0
13991,mammals,0
13992,mammals,0
13993,birds,0
13993,mammals,0
13994,birds,0
13994,mammals,0
13995,birds,0
13995,mammals,0
13996,birds,0
13996,mammals,0
13997,birds,0
13997,mammals,0
13998,birds,0
13998,mammals,0
13999,birds,0
13999,mammals,0
14000,birds,0
14000,mammals,0
14001,birds,0
14001,mammals,0
14002,birds,0
14002,mammals,0
14003,birds,0
14003,mammals,0
14076,birds,0
14076,mammals,0
14077,birds,0
14077,mammals,0
14078,birds,0
14078,mammals,0
14079,birds,0
14079,mammals,0
14080,birds,0
14080,mammals,0
14081,birds,0
14081,mammals,0
14082,birds,0
14082,mammals,0
14083,birds,0
14084,birds,0
14085,birds,0
14086,birds,0
14087,birds,0
14088,birds,0
14089,birds,0
14090,birds,0
14091,birds,0
14092,birds,0
14093,birds,0
14569,birds,0
14569,mammals,0
14570,birds,0
14570,mammals,0
14571,birds,0
14571,mammals,0
14572,birds,0
14572,mammals,0
14573,birds,0
14573,mammals,0
14574,birds,0
14574,mammals,0
14575,birds,0
14575,mammals,0
14576,birds,0
14576,mammals,0
14577,birds,0
14577,mammals,0
14578,birds,0
14578,mammals,0
14579,birds,0
14579,mammals,0
14580,birds,0
14580,mammals,0
14581,birds,0
14581,mammals,0
14582,birds,0
14582,mammals,0
14583,birds,0
14583,mammals,0
14584,birds,0
14584,mammals,0
14585,birds,0
14585,mammals,0
14586,birds,0
14586,mammals,0
14588,birds,0
14588,mammals,0
14589,birds,0
14589,mammals,0
14590,birds,0
14590,mammals,0
14591,birds,0
14591,mammals,0
14592,birds,0
14592,mammals,0
14593,birds,0
14593,mammals,0
14594,birds,0
14594,mammals,0
14595,birds,0
14595,mammals,0
14596,birds,0
14596,mammals,0
14597,birds,0
14597,mammals,0
14598,birds,0
14598,mammals,0
14599,birds,0
14599,mammals,0
14600,birds,0
14600,mammals,0
14601,birds,0
14601,mammals,0
14602,birds,0
14602,mammals,0
14603,birds,0
14603,mammals,0
14604,birds,0
14604,mammals,0
14605,birds,0
14605,mammals,0
14606,birds,0
14606,mammals,0
14607,birds,0
14607,mammals,0
14608,birds,0
14608,mammals,0
14609,birds,0
14609,mammals,0
14610,birds,0
14610,mammals,0
14611,birds,0
14611,mammals,0
14612,birds,0
14612,mammals,0
14613,birds,0
14613,mammals,0
14614,birds,0
14614,mammals,0
14615,birds,0
14615,mammals,0
14616,birds,0
14616,mammals,0
14630,birds,0
14630,mammals,0
14631,birds,0
14631,mammals,0
14632,birds,0
14632,mammals,0
14633,birds,0
14633,mammals,0
14634,birds,0
14634,mammals,0
14635,birds,0
14635,mammals,0
14636,birds,0
14636,mammals,0
14637,birds,0
14637,mammals,0
14638,birds,0
14638,mammals,0
14639,birds,0
14639,mammals,0
14640,birds,0
14640,mammals,0
14641,birds,0
14641,mammals,0
14642,birds,0
14642,mammals,0
14643,birds,0
14643,mammals,0
14644,birds,0
14644,mammals,0
14645,birds,0
14645,mammals,0
14646,birds,0
14646,mammals,0
14647,birds,0
14647,mammals,0
14648,birds,0
14648,mammals,0
14649,birds,0
14649,mammals,0
14650,birds,0
14650,mammals,0
14651,birds,0
14651,mammals,0
14652,birds,0
14652,mammals,0
14653,mammals,0
14654,mammals,0
14655,mammals,0
14656,mammals,0
14657,mammals,0
14658,mammals,0
14659,mammals,0
14660,mammals,0
14661,mammals,0
14662,mammals,0
14663,mammals,0
14664,mammals,0
14665,mammals,0
14666,mammals,0
14667,mammals,0
14668,mammals,0
14669,mammals,0
14670,mammals,0
14671,mammals,0
14672,mammals,0
14673,mammals,0
14674,mammals,0
14675,mammals,0
14676,mammals,0
14677,mammals,0
14678,mammals,0
14679,mammals,0
14680,mammals,0
14681,mammals,0
14682,mammals,0
14683,mammals,0
14684,mammals,0
14685,mammals,0
14686,mammals,0
14687,mammals,0
14688,mammals,0
14689,mammals,0
14690,mammals,0
14691,mammals,0
14692,mammals,0
14693,mammals,0
14694,mammals,0
14695,mammals,0
14696,mammals,0
14697,mammals,0
14698,mammals,0
14699,mammals,0
14700,mammals,0
14701,mammals,0
14702,mammals,0
14703,mammals,0
14704,mammals,0
14705,mammals,0
14706,mammals,0
14707,mammals,0
